Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
32,tt4500922,2018-01-26,2018-01-26,,Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/,movie,6.2,143,2018,"Action, Sci-Fi, Thriller",84754,2018-01-17,Wes Ball
33,tt2531344,2018-04-06,2018-04-06,,Blockers,https://www.imdb.com/title/tt2531344/,movie,6.2,102,2018,Comedy,51473,2018-03-10,Kay Cannon
34,tt6266538,2018-12-27,2018-12-27,,Vice,https://www.imdb.com/title/tt6266538/,movie,7.1,132,2018,"Biography, Comedy, Drama, History",28108,2018-12-12,Adam McKay
35,tt5164214,2018-06-08,2018-06-08,,Ocean's Eight,https://www.imdb.com/title/tt5164214/,movie,6.2,110,2018,"Action, Comedy, Crime, Thriller",125674,2018-06-05,Gary Ross
36,tt7014006,2018-08-03,2018-08-03,,Eighth Grade,https://www.imdb.com/title/tt7014006/,movie,7.5,93,2018,"Comedy, Drama",32867,2018-01-19,Bo Burnham
37,tt3846674,2018-10-06,2018-10-06,,To All the Boys I've Loved Before,https://www.imdb.com/title/tt3846674/,movie,7.3,99,2018,"Drama, Romance",53450,2018-08-16,Susan Johnson
38,tt5028340,2019-01-16,2019-01-16,,Mary Poppins Returns,https://www.imdb.com/title/tt5028340/,movie,7.2,130,2018,"Comedy, Family, Fantasy, Musical",32325,2018-11-29,Rob Marshall
39,tt5610554,2018-05-04,2018-05-04,,Tully,https://www.imdb.com/title/tt5610554/,movie,7.0,95,2018,"Comedy, Drama, Mystery",35670,2018-01-23,Jason Reitman
40,tt5083738,2018-12-24,2018-12-24,,The Favourite,https://www.imdb.com/title/tt5083738/,movie,7.9,119,2018,"Biography, Comedy, Drama, History",44708,2018-08-30,Yorgos Lanthimos
41,tt3892172,2019-01-17,2019-01-17,,Leave No Trace,https://www.imdb.com/title/tt3892172/,movie,7.2,109,2018,Drama,26956,2018-01-20,Debra Granik
42,tt5463162,2018-05-18,2018-05-18,,Deadpool 2,https://www.imdb.com/title/tt5463162/,movie,7.8,119,2018,"Action, Adventure, Comedy, Sci-Fi",344686,2018-05-01,David Leitch
43,tt7664504,2018-12-29,2018-12-29,,Three Identical Strangers,https://www.imdb.com/title/tt7664504/,movie,7.7,96,2018,"Documentary, Biography, Drama, Mystery",10571,2018-01-19,Tim Wardle
44,tt6217608,2018-09-22,2018-09-22,,The Rider,https://www.imdb.com/title/tt6217608/,movie,7.5,104,2017,"Drama, Western",8076,2017-05-20,Chloo Zhao
45,tt6966692,2018-11-30,2018-11-30,,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.3,130,2018,"Biography, Comedy, Drama, History, Music",53266,2018-09-11,Peter Farrelly
46,tt1034415,2018-11-03,2018-11-03,,Suspiria,https://www.imdb.com/title/tt1034415/,movie,7.0,152,2018,"Fantasy, Horror, Mystery, Thriller",22310,2018-09-01,Luca Guadagnino
47,tt6306064,2018-06-05,2018-06-05,,Adrift,https://www.imdb.com/title/tt6306064/,movie,6.6,96,2018,"Action, Adventure, Biography, Drama, Romance, Thriller",29785,2018-05-31,Baltasar Kormokur
48,tt7784604,2018-09-17,2018-09-17,,Hereditary,https://www.imdb.com/title/tt7784604/,movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",128991,2018-01-21,Ari Aster
49,tt6952960,2018-12-06,2018-12-06,,The Kindergarten Teacher,https://www.imdb.com/title/tt6952960/,movie,6.8,96,2018,Drama,6110,2018-01-19,Sara Colangelo
50,tt5304992,2018-06-26,2018-06-26,,Set It Up,https://www.imdb.com/title/tt5304992/,movie,6.5,105,2018,"Comedy, Romance",28963,2018-06-12,Claire Scanlon
51,tt4218572,2018-11-16,2018-11-16,,Widows,https://www.imdb.com/title/tt4218572/,movie,7.2,129,2018,"Crime, Drama, Thriller",38329,2018-09-08,Steve McQueen
52,tt1365519,2018-03-16,2018-03-16,,Tomb Raider,https://www.imdb.com/title/tt1365519/,movie,6.3,119,2018,"Action, Adventure, Fantasy, Thriller",152650,2018-03-02,Roar Uthaug
53,tt5649108,2018-08-02,2018-08-02,,Thoroughbreds,https://www.imdb.com/title/tt5649108/,movie,6.7,92,2017,"Comedy, Crime, Drama, Thriller",22780,2017-01-21,Cory Finley
54,tt5095030,2018-07-06,2018-07-06,,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,movie,7.1,118,2018,"Action, Adventure, Comedy, Sci-Fi",191472,2018-06-25,Peyton Reed
55,tt5742374,2018-08-22,2018-08-22,,You Were Never Really Here,https://www.imdb.com/title/tt5742374/,movie,6.8,89,2017,"Crime, Drama, Mystery, Thriller",63113,2017-05-27,Lynne Ramsay
56,tt5057140,2018-09-30,2018-09-30,,Hold the Dark,https://www.imdb.com/title/tt5057140/,movie,5.6,125,2018,"Adventure, Drama, Horror, Mystery, Thriller",23705,2018-09-12,Jeremy Saulnier
57,tt7158430,2018-06-07,2018-06-07,,Hearts Beat Loud,https://www.imdb.com/title/tt7158430/,movie,6.9,97,2018,"Comedy, Drama, Music",5246,2018-01-26,Brett Haley
58,tt7334528,2018-06-30,2018-06-30,,Uncle Drew,https://www.imdb.com/title/tt7334528/,movie,5.7,103,2018,"Comedy, Sport",7974,2018-06-27,Charles Stone III
59,tt1502407,2018-10-18,2018-10-18,,Halloween,https://www.imdb.com/title/tt1502407/,movie,6.7,106,2018,"Horror, Thriller",74175,2018-09-08,David Gordon Green
60,tt5340300,2018-08-22,2018-08-22,,Lean on Pete,https://www.imdb.com/title/tt5340300/,movie,7.2,121,2017,"Adventure, Drama",7863,2017-09-01,Andrew Haigh
61,tt3416536,2018-06-10,2018-06-10,,Hot Summer Nights,https://www.imdb.com/title/tt3416536/,movie,6.4,107,2017,"Comedy, Crime, Drama, Romance",6653,2017-03-14,Elijah Bynum
62,tt2990140,2018-12-08,2018-12-08,,The Christmas Chronicles,https://www.imdb.com/title/tt2990140/,movie,7.1,104,2018,"Adventure, Comedy, Family, Fantasy",33951,2018-11-22,Clay Kaytis
63,tt2837574,2018-10-31,2018-10-31,,The Old Man & the Gun,https://www.imdb.com/title/tt2837574/,movie,6.9,93,2018,"Biography, Comedy, Crime, Drama, Romance",17854,2018-08-31,David Lowery
64,tt4575576,2018-08-03,2018-08-03,,Christopher Robin,https://www.imdb.com/title/tt4575576/,movie,7.4,104,2018,"Animation, Adventure, Comedy, Drama, Family, Fantasy",41069,2018-08-01,Marc Forster
65,tt7424200,2018-12-29,2018-12-29,,Teen Titans Go! To the Movies,https://www.imdb.com/title/tt7424200/,movie,6.8,84,2018,"Animation, Action, Comedy, Family, Musical, Sci-Fi",10665,2018-07-22,"Aaron Horvath, Peter Rida Michail"
66,tt6850820,2018-09-11,2018-09-11,,Peppermint,https://www.imdb.com/title/tt6850820/,movie,6.5,101,2018,"Action, Drama, Thriller",28265,2018-09-06,Pierre Morel
67,tt7008872,2018-12-12,2018-12-12,,Boy Erased,https://www.imdb.com/title/tt7008872/,movie,7.0,115,2018,"Biography, Drama",10445,2018-09-01,Joel Edgerton
68,tt3766354,2018-07-20,2018-07-20,,The Equalizer 2,https://www.imdb.com/title/tt3766354/,movie,6.8,121,2018,"Action, Crime, Thriller",82046,2018-07-19,Antoine Fuqua
69,tt5613484,2018-10-27,2018-10-27,,Mid90s,https://www.imdb.com/title/tt5613484/,movie,7.4,85,2018,"Comedy, Drama",13050,2018-09-09,Jonah Hill
70,tt6679794,2018-11-23,2018-11-23,,Outlaw King,https://www.imdb.com/title/tt6679794/,movie,7.0,121,2018,"Action, Biography, Drama, History, War",39343,2018-09-06,David Mackenzie
71,tt7525778,2018-09-21,2018-09-21,,The Package,https://www.imdb.com/title/tt7525778/,movie,5.5,94,2018,Comedy,9025,2018-08-10,Jake Szymanski
72,tt4881806,2018-06-22,2018-06-22,,Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/,movie,6.2,128,2018,"Action, Adventure, Sci-Fi",196403,2018-05-21,J.A. Bayona
73,tt6053438,2018-09-22,2018-09-22,,First Reformed,https://www.imdb.com/title/tt6053438/,movie,7.1,113,2017,"Drama, Mystery, Thriller",25779,2017-08-31,Paul Schrader
74,tt5104604,2018-08-08,2018-08-08,,Isle of Dogs,https://www.imdb.com/title/tt5104604/,movie,7.9,101,2018,"Animation, Adventure, Comedy, Drama, Fantasy, Sci-Fi",95008,2018-02-15,Wes Anderson
75,tt5834262,2018-06-25,2018-06-25,,Hotel Artemis,https://www.imdb.com/title/tt5834262/,movie,6.1,94,2018,"Action, Crime, Drama, Sci-Fi, Thriller",25256,2018-06-07,Drew Pearce
76,tt2873282,2018-03-02,2018-03-02,,Red Sparrow,https://www.imdb.com/title/tt2873282/,movie,6.6,140,2018,"Action, Drama, Thriller",126880,2018-02-19,Francis Lawrence
77,tt5052474,2018-06-29,2018-06-29,,Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/,movie,7.1,122,2018,"Action, Crime, Drama, Thriller",82275,2018-06-18,Stefano Sollima
78,tt2737304,2019-01-05,2019-01-05,,Bird Box,https://www.imdb.com/title/tt2737304/,movie,6.7,124,2018,"Drama, Horror, Sci-Fi, Thriller",176872,2018-11-12,Susanne Bier
79,tt2388771,2018-12-07,2018-12-07,,Mowgli,https://www.imdb.com/title/tt2388771/,movie,6.5,104,2018,"Adventure, Drama, Fantasy",38873,2018-11-25,Andy Serkis
80,tt7959026,2018-12-26,2018-12-26,,The Mule,https://www.imdb.com/title/tt7959026/,movie,7.2,116,2018,"Crime, Drama, Thriller",17175,2018-12-10,Clint Eastwood
81,tt6781982,2018-09-28,2018-09-28,,Night School,https://www.imdb.com/title/tt6781982/,movie,5.6,111,2018,Comedy,17496,2018-09-26,Malcolm D. Lee
82,tt3778644,2018-05-25,2018-05-25,,Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/,movie,7.0,135,2018,"Action, Adventure, Fantasy, Sci-Fi",201962,2018-05-10,Ron Howard
83,tt6133466,2018-07-09,2018-07-09,,The First Purge,https://www.imdb.com/title/tt6133466/,movie,5.1,98,2018,"Action, Horror, Sci-Fi, Thriller",35644,2018-07-04,Gerard McMurray
84,tt6412452,2018-11-22,2018-11-22,,The Ballad of Buster Scruggs,https://www.imdb.com/title/tt6412452/,movie,7.3,133,2018,"Comedy, Drama, Musical, Mystery, Romance, Western",68012,2018-08-31,"Joel Coen, Ethan Coen"
85,tt4537896,2018-09-19,2018-09-19,,White Boy Rick,https://www.imdb.com/title/tt4537896/,movie,6.5,111,2018,"Crime, Drama",11360,2018-08-31,Yann Demange
86,tt6108178,2018-11-02,2018-11-02,,Disobedience,https://www.imdb.com/title/tt6108178/,movie,6.6,114,2017,"Drama, Romance",15992,2017-09-10,Sebastion Lelio
87,tt4779682,2018-08-10,2018-08-10,,The Meg,https://www.imdb.com/title/tt4779682/,movie,5.7,113,2018,"Action, Horror, Sci-Fi, Thriller",96469,2018-08-08,Jon Turteltaub
88,tt2231461,2018-04-13,2018-04-13,,Rampage,https://www.imdb.com/title/tt2231461/,movie,6.1,107,2018,"Action, Adventure, Sci-Fi",104619,2018-04-11,Brad Peyton
89,tt6791096,2018-08-08,2018-08-08,,I Feel Pretty,https://www.imdb.com/title/tt6791096/,movie,5.4,110,2018,Comedy,34117,2018-04-19,"Abby Kohn, Marc Silverstein"
90,tt6217306,2018-10-12,2018-10-12,,Apostle,https://www.imdb.com/title/tt6217306/,movie,6.3,130,2018,"Drama, Fantasy, Horror, Mystery, Thriller",25056,2018-09-21,Gareth Evans
91,tt1590193,2018-01-24,2018-01-24,,The Commuter,https://www.imdb.com/title/tt1590193/,movie,6.3,105,2018,"Action, Crime, Drama, Mystery, Thriller",76339,2018-01-08,Jaume Collet-Serra
92,tt6421110,2018-04-14,2018-04-14,,Proud Mary,https://www.imdb.com/title/tt6421110/,movie,4.9,89,2018,"Action, Crime, Drama, Thriller",6223,2018-01-12,Babak Najafi
93,tt4080956,2018-08-13,2018-08-13,,A Prayer Before Dawn,https://www.imdb.com/title/tt4080956/,movie,6.9,116,2017,"Action, Biography, Crime, Drama, Sport",12778,2017-05-19,Jean-Stophane Sauvaire
94,tt5177088,2018-11-10,2018-11-10,,The Girl in the Spider's Web,https://www.imdb.com/title/tt5177088/,movie,6.1,117,2018,"Action, Crime, Drama, Thriller",16955,2018-10-18,Fede Alvarez
95,tt2548396,2018-02-05,2018-02-05,,The Cloverfield Paradox,https://www.imdb.com/title/tt2548396/,movie,5.6,102,2018,"Drama, Horror, Mystery, Sci-Fi, Thriller",78464,2018-02-04,Julius Onah
96,tt6450186,2018-03-22,2018-03-22,,I Can Only Imagine,https://www.imdb.com/title/tt6450186/,movie,7.3,110,2018,"Biography, Drama, Family, Music",10201,2018-03-16,"Jon Erwin, Andrew Erwin"
97,tt1270797,2018-10-04,2018-10-04,,Venom,https://www.imdb.com/title/tt1270797/,movie,6.8,112,2018,"Action, Sci-Fi",228736,2018-10-01,Ruben Fleischer
98,tt4971344,2018-10-31,2018-10-31,,The Sisters Brothers,https://www.imdb.com/title/tt4971344/,movie,7.0,122,2018,"Adventure, Comedy, Crime, Drama, Western",18658,2018-09-02,Jacques Audiard
99,tt5688932,2018-07-23,2018-07-23,,Sorry to Bother You,https://www.imdb.com/title/tt5688932/,movie,7.0,111,2018,"Comedy, Fantasy, Sci-Fi",32851,2018-01-20,Boots Riley
100,tt4073790,2018-08-05,2018-08-05,,The Darkest Minds,https://www.imdb.com/title/tt4073790/,movie,5.7,104,2018,"Action, Adventure, Drama, Romance, Sci-Fi, Thriller",18016,2018-08-01,Jennifer Yuh Nelson
101,tt2557478,2018-03-25,2018-03-25,,Pacific Rim: Uprising,https://www.imdb.com/title/tt2557478/,movie,5.6,111,2018,"Action, Adventure, Sci-Fi",83165,2018-03-21,Steven S. DeKnight
102,tt6205872,2018-09-20,2018-09-20,,Assassination Nation,https://www.imdb.com/title/tt6205872/,movie,5.9,108,2018,"Action, Comedy, Crime, Drama, Thriller",6420,2018-01-21,Sam Levinson
103,tt1413492,2018-05-09,2018-05-09,,12 Strong,https://www.imdb.com/title/tt1413492/,movie,6.6,130,2018,"Action, Drama, History, War",45729,2018-01-17,Nicolai Fuglsig
104,tt7137846,2018-10-26,2018-10-26,,Breaking In,https://www.imdb.com/title/tt7137846/,movie,5.3,88,2018,"Action, Crime, Drama, Thriller",8341,2018-05-10,James McTeigue
105,tt3289724,2018-12-26,2018-12-26,,Welcome to Marwen,https://www.imdb.com/title/tt3289724/,movie,5.9,116,2018,"Biography, Comedy, Drama, Fantasy",3425,2018-12-21,Robert Zemeckis
106,tt1620680,2018-03-10,2018-03-10,,A Wrinkle in Time,https://www.imdb.com/title/tt1620680/,movie,4.2,109,2018,"Adventure, Family, Fantasy, Sci-Fi",32401,2018-02-26,Ava DuVernay
107,tt5758778,2018-07-13,2018-07-13,,Skyscraper,https://www.imdb.com/title/tt5758778/,movie,5.9,102,2018,"Action, Adventure, Thriller",69569,2018-07-11,Rawson Marshall Thurber
108,tt2328900,2018-12-26,2018-12-26,,Mary Queen of Scots,https://www.imdb.com/title/tt2328900/,movie,6.5,124,2018,"Biography, Drama, History",8976,2018-11-15,Josie Rourke
109,tt5814060,2018-09-08,2018-09-08,,The Nun,https://www.imdb.com/title/tt5814060/,movie,5.4,96,2018,"Horror, Mystery, Thriller",77587,2018-09-04,Corin Hardy
110,tt1226837,2018-11-02,2018-11-02,,Beautiful Boy,https://www.imdb.com/title/tt1226837/,movie,7.3,120,2018,"Biography, Drama",20386,2018-09-07,Felix van Groeningen
111,tt2368254,2018-11-28,2018-11-28,,A Private War,https://www.imdb.com/title/tt2368254/,movie,6.7,110,2018,"Biography, Drama, War",4099,2018-09-07,Matthew Heineman
112,tt4560436,2018-08-22,2018-08-22,,Mile 22,https://www.imdb.com/title/tt4560436/,movie,6.1,94,2018,"Action, Adventure, Thriller",40388,2018-08-16,Peter Berg
113,tt7280898,2018-10-11,2018-10-11,,22 July,https://www.imdb.com/title/tt7280898/,movie,6.8,143,2018,"Crime, Drama, History, Thriller",17065,2018-09-05,Paul Greengrass
114,tt4123430,2018-11-14,2018-11-14,,Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com/title/tt4123430/,movie,6.8,134,2018,"Adventure, Family, Fantasy",116543,2018-11-08,David Yates
115,tt7153766,2018-03-28,2018-03-28,,Unsane,https://www.imdb.com/title/tt7153766/,movie,6.4,98,2018,"Drama, Horror, Mystery, Thriller",28553,2018-02-21,Steven Soderbergh
116,tt1259528,2018-01-26,2018-01-26,,Den of Thieves,https://www.imdb.com/title/tt1259528/,movie,7.0,140,2018,"Action, Crime, Drama, Mystery, Thriller",63397,2018-01-18,Christian Gudegast
117,tt3829266,2018-09-14,2018-09-14,,The Predator,https://www.imdb.com/title/tt3829266/,movie,5.4,107,2018,"Action, Adventure, Sci-Fi, Thriller",81945,2018-09-07,Shane Black
118,tt4463816,2018-12-01,2018-12-01,,Terminal,https://www.imdb.com/title/tt4463816/,movie,5.3,95,2018,"Crime, Drama, Thriller",12994,2018-05-10,Vaughn Stein
119,tt6802308,2018-02-14,2018-02-14,,The 15:17 to Paris,https://www.imdb.com/title/tt6802308/,movie,5.2,94,2018,"Biography, Drama",19867,2018-02-05,Clint Eastwood
120,tt3721964,2018-10-26,2018-10-26,,Gringo,https://www.imdb.com/title/tt3721964/,movie,6.1,111,2018,"Action, Comedy, Crime, Drama",19383,2018-03-08,Nash Edgerton
121,tt1255919,2018-12-26,2018-12-26,,Holmes & Watson,https://www.imdb.com/title/tt1255919/,movie,3.4,90,2018,"Adventure, Comedy, Crime, Mystery",7748,2018-12-25,Etan Cohen
122,tt3563262,2018-08-22,2018-08-22,,Submergence,https://www.imdb.com/title/tt3563262/,movie,5.4,112,2017,"Drama, Romance, Thriller",4904,2017-09-10,Wim Wenders
123,tt3317234,2018-04-04,2018-04-04,,"Game Over, Man!",https://www.imdb.com/title/tt3317234/,movie,5.4,101,2018,"Action, Comedy",20136,2018-03-21,Kyle Newacheck
